# The mates' picks — one row per player per round. Fill `result` (W/D/L) after
# the games play. Team names are fuzzy-matched (Spurs, Man Utd, Nott'm Forest ok).
# This is the raw material for the field/crowding layer later.
round,player,team,result
1,Smarshy,Man Utd,L
1,Hasan,Arsenal,W
1,VinnyDaLoo,Arsenal,W
1,Kenny,Arsenal,W
1,Josh Wansell,Arsenal,W
1,Andrea,Arsenal,W
1,Treve,Arsenal,W
1,Malley,Everton,W
1,PK1,Arsenal,W
1,Bobby A,Arsenal,W
1,Col the Cat,Arsenal,W
1,Andrew L,Arsenal,W
1,Jp C,Arsenal,W
1,Keith W,Arsenal,W
1,Matthew Woodford,Man City,W
1,Mr Random,Man City,W
1,Andy W,Chelsea,W
1,Jimmy D,Chelsea,W
1,Paul Murphy,Man Utd,L
1,Mr T,Tottenham,L
1,Georgie B,Man Utd,L
1,Conrad B,Man Utd,L
1,robrams,Nottingham Forest,L
1,Adderz,Man Utd,L
2,Smarshy,Liverpool,
